home_team,ft_home,ft_away,away_team,ht_home,ht_away,year
Skënderbeu,2,1,Kukësi,2,1,2019-2020
Vllaznia,1,0,Partizani,1,0,2019-2020
Tirana,1,0,Laci,0,0,2019-2020
Luftëtari,1,1,Bylis,1,1,2019-2020
Teuta,1,1,Flamurtari,0,1,2019-2020
Flamurtari,0,2,Tirana,0,1,2019-2020
Kukësi,0,0,Vllaznia,0,0,2019-2020
Partizani,0,1,Teuta,0,0,2019-2020
Skënderbeu,2,0,Luftëtari,1,0,2019-2020
Laci,2,1,Bylis,0,0,2019-2020
Teuta,2,2,Kukësi,1,1,2019-2020
Bylis,0,0,Flamurtari,0,0,2019-2020
Luftëtari,0,2,Laci,0,0,2019-2020
Vllaznia,0,1,Skënderbeu,0,0,2019-2020
Tirana,5,1,Partizani,2,1,2019-2020
Partizani,2,2,Bylis,2,1,2019-2020
Skënderbeu,3,2,Teuta,2,1,2019-2020
Flamurtari,1,3,Laci,0,2,2019-2020
Vllaznia,4,0,Luftëtari,1,0,2019-2020
Kukësi,1,2,Tirana,0,0,2019-2020
Teuta,3,1,Vllaznia,2,1,2019-2020
Bylis,1,1,Kukësi,0,1,2019-2020
Laci,1,3,Partizani,1,2,2019-2020
Luftëtari,0,1,Flamurtari,0,1,2019-2020
Tirana,1,1,Skënderbeu,0,1,2019-2020
Partizani,2,0,Flamurtari,0,0,2019-2020
Teuta,1,1,Luftëtari,1,0,2019-2020
Kukësi,3,1,Laci,1,1,2019-2020
Skënderbeu,1,1,Bylis,0,0,2019-2020
Vllaznia,0,1,Tirana,0,0,2019-2020
Bylis,2,2,Vllaznia,2,2,2019-2020
Laci,1,0,Skënderbeu,0,0,2019-2020
Flamurtari,1,4,Kukësi,0,2,2019-2020
Tirana,2,1,Teuta,2,1,2019-2020
Luftëtari,0,3,Partizani,0,2,2019-2020
Kukësi,1,0,Partizani,0,0,2019-2020
Tirana,5,1,Luftëtari,3,0,2019-2020
Teuta,1,0,Bylis,1,0,2019-2020
Vllaznia,0,0,Laci,0,0,2019-2020
Skënderbeu,1,0,Flamurtari,0,0,2019-2020
Tirana,2,1,Bylis,1,0,2019-2020
Luftëtari,0,0,Kukësi,0,0,2019-2020
Skënderbeu,3,2,Partizani,2,1,2019-2020
Teuta,0,1,Laci,0,0,2019-2020
Vllaznia,2,0,Flamurtari,1,0,2019-2020
Flamurtari,1,3,Teuta,0,1,2019-2020
Kukësi,1,1,Skënderbeu,0,1,2019-2020
Partizani,1,0,Vllaznia,0,0,2019-2020
Bylis,1,0,Luftëtari,1,0,2019-2020
Laci,1,2,Tirana,1,1,2019-2020
Tirana,2,0,Flamurtari,0,0,2019-2020
Bylis,1,0,Laci,0,0,2019-2020
Luftëtari,2,0,Skënderbeu,1,0,2019-2020
Teuta,1,0,Partizani,1,0,2019-2020
Vllaznia,1,2,Kukësi,0,1,2019-2020
Kukësi,4,0,Teuta,1,0,2019-2020
Skënderbeu,0,1,Vllaznia,0,0,2019-2020
Flamurtari,2,2,Bylis,1,1,2019-2020
Laci,4,0,Luftëtari,2,0,2019-2020
Partizani,1,2,Tirana,1,1,2019-2020
Teuta,1,0,Skënderbeu,0,0,2019-2020
Laci,3,0,Flamurtari,0,0,2019-2020
Tirana,1,3,Kukësi,1,0,2019-2020
Bylis,2,1,Partizani,1,1,2019-2020
Luftëtari,0,2,Vllaznia,0,0,2019-2020
Partizani,1,0,Laci,1,0,2019-2020
Vllaznia,0,0,Teuta,0,0,2019-2020
Skënderbeu,2,1,Tirana,1,0,2019-2020
Flamurtari,1,1,Luftëtari,0,0,2019-2020
Kukësi,2,1,Bylis,1,1,2019-2020
