home_team,away_team,1,x,2,winning_index,winning odd,year
Kukësi,Partizani,2.24,3.05,3.68,1,2.24,2019-2020
Tirana,Luftëtari,2.05,3.91,6.52,1,2.05,2019-2020
Teuta,Bylis,1.87,3.4,5.15,1,1.87,2019-2020
Tirana,Teuta,2.21,3.1,3.6,x,3.1,2019-2020
Laçi,Skënderbeu,2.06,3.58,3.3,2,3.3,2019-2020
Bylis,Vllaznia,2.05,2.94,3.81,x,2.94,2019-2020
Luftëtari,Partizani,6.05,3.5,1.6,2,1.6,2019-2020
Flamurtari,Kukësi,5.2,3.4,2.3,2,2.3,2019-2020
Kukësi,Laçi,1.85,3.5,5.64,x,3.5,2019-2020
Partizani,Flamurtari,2.31,3.83,4.9,1,2.31,2019-2020
Laçi,Partizani,2.9,2.79,2.65,1,2.9,2019-2020
Skënderbeu,Teuta,2.27,3.3,3.02,1,2.27,2019-2020
Kukësi,Tirana,2.4,3.28,2.78,1,2.4,2019-2020
Skënderbeu,Luftëtari,1.42,4.08,7.75,1,1.42,2019-2020
Laçi,Bylis,2.25,3.12,3.23,x,3.12,2019-2020
Kukësi,Vllaznia,1.74,3.25,4.59,2,4.59,2019-2020
Teuta,Flamurtari,1.6,3.78,5.8,1,1.6,2019-2020
Kukësi,Luftëtari,2.12,3.75,4.7,1,2.12,2019-2020
Bylis,Tirana,1.94,3.33,4.15,1,1.94,2019-2020
Laçi,Teuta,2.95,2.92,2.57,1,2.95,2019-2020
Flamurtari,Vllaznia,3.93,2.88,2.01,2,2.01,2019-2020
Partizani,Skënderbeu,1.76,3.48,6,1,1.76,2019-2020
Laçi,Vllaznia,2.16,2.97,3.59,1,2.16,2019-2020
Partizani,Kukësi,2.44,3.37,4.15,x,3.37,2019-2020
Flamurtari,Skënderbeu,3.55,3.33,2.12,x,3.33,2019-2020
Kukësi,Flamurtari,1.19,5.75,23,1,1.19,2019-2020
Vllaznia,Bylis,2.3,2.78,3.56,2,3.56,2019-2020
Tirana,Vllaznia,1.76,3.15,4.66,x,3.15,2019-2020
Flamurtari,Partizani,5.1,3.53,1.67,x,3.53,2019-2020
Flamurtari,Luftëtari,1.78,3.45,4.37,x,3.45,2019-2020
Kukësi,Bylis,1.93,3.58,5.3,1,1.93,2019-2020
Skënderbeu,Tirana,1.98,3.3,3.7,1,1.98,2019-2020
Vllaznia,Teuta,2.24,2.82,3.36,x,2.82,2019-2020
Partizani,Laçi,1.98,3.13,4.52,1,1.98,2019-2020
Bylis,Partizani,2.37,3.26,3.48,1,2.37,2019-2020
Laçi,Flamurtari,1.44,4.53,9.63,1,1.44,2019-2020
Teuta,Skënderbeu,2.36,3.01,2.98,1,2.36,2019-2020
Partizani,Tirana,1.57,3.54,6.2,2,6.2,2019-2020
Flamurtari,Bylis,4.82,3.43,1.72,x,3.43,2019-2020
Laçi,Luftëtari,1.34,4.7,9.9,1,1.34,2019-2020
Kukësi,Teuta,1.96,3.15,3.97,1,1.96,2019-2020
Skënderbeu,Vllaznia,2.03,3.11,3.77,2,3.77,2019-2020
Vllaznia,Kukësi,4.48,3.12,1.86,2,1.86,2019-2020
Bylis,Laçi,1.88,3.48,4.09,1,1.88,2019-2020
Luftëtari,Skënderbeu,2.75,3.11,2.55,1,2.75,2019-2020
Teuta,Partizani,2.39,3.01,3.15,1,2.39,2019-2020
Tirana,Flamurtari,1.25,5.5,12.02,1,1.25,2019-2020
Bylis,Luftëtari,1.25,5.11,12.3,1,1.25,2019-2020
Laçi,Tirana,1.99,3.24,3.81,2,3.81,2019-2020
Kukësi,Skënderbeu,1.3,4.85,11,x,4.85,2019-2020
Partizani,Vllaznia,1.85,3.17,4.49,1,1.85,2019-2020
Vllaznia,Flamurtari,1.27,3.95,13,1,1.27,2019-2020
Teuta,Laçi,2.5,2.82,3.45,2,3.45,2019-2020
Skënderbeu,Partizani,3.4,2.96,2.38,1,3.4,2019-2020
Luftëtari,Kukësi,11,4.57,1.3,x,4.57,2019-2020
Tirana,Bylis,2.26,3.13,3.42,1,2.26,2019-2020
Teuta,Bylis,2.55,2.9,2.83,1,2.55,2019-2020
Tirana,Luftëtari,1.12,7.5,22,1,1.12,2019-2020
Kukësi,Partizani,1.97,2.99,4.38,1,1.97,2019-2020
Flamurtari,Kukësi,14,5.3,1.3,2,1.3,2019-2020
Tirana,Teuta,1.93,3.3,4.7,1,1.93,2019-2020
Laçi,Skënderbeu,1.63,3.76,5.95,1,1.63,2019-2020
Bylis,Vllaznia,2.16,2.95,3.6,x,2.95,2019-2020
Vllaznia,Tirana,2.69,3.09,2.6,2,2.6,2019-2020
Kukësi,Laçi,2.24,3.42,4.68,1,2.24,2019-2020
Skënderbeu,Bylis,1.92,3.4,4.11,x,3.4,2019-2020
Teuta,Luftëtari,1.21,5.65,15.05,x,5.65,2019-2020
Partizani,Flamurtari,1.42,4.4,6.7,1,1.42,2019-2020
Laçi,Partizani,2.31,3.05,3.42,2,3.42,2019-2020
Bylis,Kukësi,3.69,3.33,1.96,x,3.33,2019-2020
Teuta,Vllaznia,2.03,3.17,3.66,1,2.03,2019-2020
Kukësi,Tirana,2.56,3.07,2.82,2,2.82,2019-2020
Flamurtari,Laçi,2.92,3.46,2.4,2,2.4,2019-2020
Vllaznia,Luftëtari,1.56,3.61,6.15,1,1.56,2019-2020
Partizani,Bylis,1.8,3.36,4.58,x,3.36,2019-2020
Tirana,Partizani,2.49,3.05,2.71,1,2.49,2019-2020
Teuta,Kukësi,2.54,2.88,2.72,x,2.88,2019-2020
Laçi,Bylis,1.76,3.38,4.8,1,1.76,2019-2020
Skënderbeu,Luftëtari,1.26,4.75,13.5,1,1.26,2019-2020
Kukësi,Vllaznia,1.29,4.35,9.4,x,4.35,2019-2020
Flamurtari,Tirana,10,5,1.27,2,1.27,2019-2020
Partizani,Teuta,2.17,3.05,3.15,2,3.15,2019-2020
Luftëtari,Bylis,4.62,3.2,1.77,x,3.2,2019-2020
Teuta,Flamurtari,1.38,3.9,8,x,3.9,2019-2020
Tirana,Laçi,1.77,3.38,4.24,1,1.77,2019-2020
Skënderbeu,Kukësi,2.98,3.06,2.33,1,2.98,2019-2020
Skënderbeu,Partizani,1.78,3.2,4.5,1,1.78,2018-2019
Tirana,Kamza,1.6,3.5,5,2,5,2018-2019
Kukësi,Laçi,2.4,2.9,3.05,x,2.9,2018-2019
Teuta,Flamurtari,2.7,3.4,2.55,x,3.4,2018-2019
Tirana,Teuta,2.52,3.4,2.61,x,3.4,2018-2019
Laçi,Luftëtari,1.81,3.25,4.33,1,1.81,2018-2019
Kastrioti,Skënderbeu,4.5,3.4,1.73,2,1.73,2018-2019
Partizani,Kastrioti,1.35,4.24,8.5,1,1.35,2018-2019
Kukësi,Tirana,1.55,3.7,6.1,1,1.55,2018-2019
Teuta,Kamza,2.09,3.5,4.6,1,2.09,2018-2019
Flamurtari,Skënderbeu,2.6,3.15,2.79,2,2.79,2018-2019
Luftëtari,Teuta,2.5,3.3,2.51,1,2.5,2018-2019
Skënderbeu,Tirana,1.34,4.7,7.2,x,4.7,2018-2019
Kastrioti,Laçi,3.6,3.3,2.15,x,3.3,2018-2019
Kukësi,Kamza,1.74,3.25,4.6,1,1.74,2018-2019
Tirana,Partizani,2.82,3.6,2.14,2,2.14,2018-2019
Laçi,Flamurtari,1.95,3.26,5.75,1,1.95,2018-2019
Kastrioti,Tirana,6,3.9,1.52,2,1.52,2018-2019
Luftëtari,Kamza,2.1,3,3.8,1,2.1,2018-2019
Partizani,Teuta,1.64,3.62,7.2,1,1.64,2018-2019
Skënderbeu,Kukësi,2.2,3.1,3.3,1,2.2,2018-2019
Kamza,Flamurtari,2.35,2.92,3.33,x,2.92,2018-2019
Kukësi,Partizani,2.49,3.1,3.02,2,3.02,2018-2019
Skënderbeu,Kamza,1.22,6,10.5,1,1.22,2018-2019
Partizani,Luftëtari,1.13,7,19,1,1.13,2018-2019
Flamurtari,Tirana,2.05,3.14,4.2,1,2.05,2018-2019
Laçi,Kukësi,2.64,3,2.65,2,2.65,2018-2019
Kastrioti,Luftëtari,2.4,3.15,2.7,2,2.7,2018-2019
Partizani,Skënderbeu,2.25,2.9,3.38,2,3.38,2018-2019
Teuta,Tirana,2.07,3,3.95,1,2.07,2018-2019
Kukësi,Flamurtari,2.02,3.1,3.93,2,3.93,2018-2019
Luftëtari,Laçi,2.34,3.05,3.3,2,3.3,2018-2019
Tirana,Kukësi,2.78,2.88,2.71,x,2.88,2018-2019
Laçi,Skënderbeu,5.8,3.3,1.65,1,5.8,2018-2019
Kamza,Teuta,3.32,3.35,3.32,2,3.32,2018-2019
