Team,Name,Age,P,Minutes played,Appearances,Lineups,Substitute in,Substitute out,Substitutes on bench,Goal,Yellow card,Yellow 2nd/RC,Red card,Year
Bylis,X. Çaushaj,17,G,0,0,0,0,0,1,0,0,0,0,2019-2020
Bylis,I. Hidi,39,G,2160,24,24,0,0,1,4,6,0,0,2019-2020
Bylis,F. Miraka,32,G,180,2,2,0,0,21,0,0,0,0,2019-2020
Bylis,D. Bicaj,31,D,1314,16,15,1,2,4,0,6,1,0,2019-2020
Bylis,Vicente,24,D,449,6,5,1,1,1,0,1,0,0,2019-2020
Bylis,J. Goxha,27,D,1676,20,19,1,1,1,4,5,0,1,2019-2020
Bylis,A. Hadroj,21,D,917,14,13,1,8,7,0,4,0,0,2019-2020
Bylis,S. Janku,22,D,1177,16,12,4,1,13,1,8,0,0,2019-2020
Bylis,O. Kosti,18,D,0,0,0,0,0,3,0,0,0,0,2019-2020
Bylis,E. Mehmetaj,18,D,48,1,1,0,1,1,0,0,0,0,2019-2020
Bylis,X. Mehmetaj,16,D,0,0,0,0,0,0,0,0,0,0,2019-2020
Bylis,E. Ndreca,25,D,1083,15,13,2,6,7,2,5,0,0,2019-2020
Bylis,A. Peposhi,27,D,1930,23,22,1,2,2,1,4,1,0,2019-2020
Bylis,S. Shkalla,24,D,630,7,7,0,0,0,0,4,0,0,2019-2020
Bylis,F. Ymeralilaj,25,D,1080,12,12,0,0,0,0,0,0,0,2019-2020
Bylis,V. Zhongo,,D,10,1,0,1,0,7,0,0,0,0,2019-2020
Bylis,K. Aliaj,20,M,23,1,0,1,0,13,0,0,0,0,2019-2020
Bylis,M. Barjamaj,21,M,1335,21,15,6,9,9,0,1,0,0,2019-2020
Bylis,A. Beji Anthony,21,M,107,3,1,2,1,8,0,0,0,0,2019-2020
Bylis,B. Çelaj,17,M,0,0,0,0,0,2,0,0,0,0,2019-2020
Bylis,A. Zuluaga,24,M,65,1,1,0,1,7,0,1,0,0,2019-2020
Bylis,D. Mëllugja,24,M,2087,24,24,0,3,0,0,8,1,0,2019-2020
Bylis,V. Murataj,23,M,2133,24,24,0,4,0,3,8,1,0,2019-2020
Bylis,O. Ntephe,26,M,1698,23,22,1,9,4,4,2,0,0,2019-2020
Bylis,E. Qardaku,19,M,984,20,11,9,9,15,1,3,0,0,2019-2020
Bylis,D. Saliaj,18,M,0,0,0,0,0,3,0,0,0,0,2019-2020
Bylis,A. Sallaku,25,M,0,0,0,0,0,6,0,0,0,0,2019-2020
Bylis,E. Turabov,23,M,493,8,7,1,4,4,0,2,0,0,2019-2020
Bylis,S. Ujka,21,M,343,15,1,14,1,23,0,4,0,0,2019-2020
Bylis,S. Guindo,23,A,2229,26,26,0,4,0,10,3,0,0,2019-2020
Bylis,A. Haxhiaj,17,A,0,0,0,0,0,1,0,0,0,0,2019-2020
Bylis,F. Malçi,25,A,58,2,0,2,0,5,0,0,0,0,2019-2020
Bylis,E. Mozzone,22,A,353,6,3,3,2,3,3,3,0,0,2019-2020
Bylis,F. Muñoz,28,A,281,6,4,2,4,3,0,0,0,0,2019-2020
Bylis,M. Peçi,23,A,78,3,0,3,0,8,0,0,0,0,2019-2020
Bylis,A. Vrenozi,17,A,0,0,0,0,0,1,0,0,0,0,2019-2020
Flamurtari,S. Alimuçaj,17,G,0,0,0,0,0,2,0,0,0,0,2019-2020
Flamurtari,A. Bushi,19,G,0,0,0,0,0,7,0,0,0,0,2019-2020
Flamurtari,S. Moçka,30,G,2340,26,26,0,0,0,0,3,0,0,2019-2020
Flamurtari,G. Ballaj,18,D,0,0,0,0,0,0,0,0,0,0,2019-2020
Flamurtari,V. Gjipali,17,D,1,1,1,0,0,2,0,0,0,0,2019-2020
Flamurtari,O. Gocaj,31,D,1890,21,21,0,0,0,0,8,0,0,2019-2020
Flamurtari,A. Muçollari,19,D,1622,21,18,3,9,6,0,2,0,0,2019-2020
Flamurtari,D. Pjeshka,24,D,1531,18,18,0,2,3,1,6,0,0,2019-2020
Flamurtari,M. Qarri,21,D,1123,14,13,1,2,11,0,2,0,0,2019-2020
Flamurtari,G. Sarris,30,D,295,5,4,1,3,2,0,0,0,0,2019-2020
Flamurtari,Lucas Ramos,25,M,450,5,5,0,0,0,0,0,0,0,2019-2020
Flamurtari,S. Haruni,20,M,952,20,8,12,5,17,2,2,0,0,2019-2020
Flamurtari,Carlos Henrique,24,M,185,3,3,0,2,0,0,0,0,0,2019-2020
Flamurtari,K. Kreshpa,19,M,551,15,6,9,2,13,0,1,0,0,2019-2020
Flamurtari,R. Llapi,18,M,66,2,0,2,0,9,0,1,0,0,2019-2020
Flamurtari,R. Mukoj,18,M,0,0,0,0,0,3,0,0,0,0,2019-2020
Flamurtari,K. Nebihu,22,M,1858,23,21,2,4,2,1,8,0,0,2019-2020
Flamurtari,A. Rrapaj,18,M,1759,25,19,6,6,6,0,1,0,0,2019-2020
Flamurtari,J. Vrapi,21,M,1216,17,13,4,3,9,1,0,0,0,2019-2020
Flamurtari,B. Aliaj,18,A,0,0,0,0,0,5,0,0,0,0,2019-2020
Flamurtari,D. Aliaj,18,A,19,2,0,2,0,8,0,0,0,0,2019-2020
Flamurtari,A. Balilaj,19,A,48,6,0,6,0,17,0,0,0,0,2019-2020
Flamurtari,Welder,25,A,85,1,1,0,1,0,0,1,0,0,2019-2020
